editor_name_BWS,query_article_BWS,article_id_BWS,TOP-K_BWS,Score_BWS,editor_name_BM25,query_article_BM25,article_id_BM25,TOP-K_BM25,Score_BM25
brnada,FALTER_20211215_2A088C305E,FALTER_20220706_8CD3003E2A,5,0.125,brnada,FALTER_20211215_2A088C305E,FALTER_20220112_8EAECAFBBC,5,25.2568
brnada,FALTER_20211215_2A088C305E,FALTER_20220608_393A7DC474,6,0.0,brnada,FALTER_20211215_2A088C305E,FALTER_20211222_E7A625F5A8,6,24.508801
brnada,FALTER_20211215_2A088C305E,FALTER_20211222_04EB44E2A2,7,0.0,brnada,FALTER_20211215_2A088C305E,FALTER_20221116_43D92DB2B6,7,23.9816
brnada,FALTER_20211215_2A088C305E,FALTER_20220921_54188C4144,8,0.0,brnada,FALTER_20211215_2A088C305E,FALTER_20220615_FAF392ED7C,8,23.755199
brnada,FALTER_20211215_2A088C305E,FALTER_20211222_E7A625F5A8,9,0.0,brnada,FALTER_20211215_2A088C305E,FALTER_20220209_D48F09F14F,9,22.945101
brnada,FALTER_20211215_2A088C305E,FALTER_20220209_A2A33B7FC0,10,-0.125,brnada,FALTER_20211215_2A088C305E,FALTER_20221109_6B8EF9C1FB,10,22.775
brnada,FALTER_20211215_2A088C305E,FALTER_20220727_7BBF96391C,11,-0.125,brnada,FALTER_20211215_2A088C305E,FALTER_20220803_F2C9E4BA31,11,22.430099
brnada,FALTER_20211215_2A088C305E,FALTER_20220803_F2C9E4BA31,12,-0.25,brnada,FALTER_20211215_2A088C305E,FALTER_20220921_347CB5C321,12,22.409599
brnada,FALTER_20211215_2A088C305E,FALTER_20220525_276AE25D1D,13,-0.25,brnada,FALTER_20211215_2A088C305E,FALTER_20220209_A2A33B7FC0,13,22.315701
brnada,FALTER_20211215_2A088C305E,FALTER_20220209_D48F09F14F,14,-0.5,brnada,FALTER_20211215_2A088C305E,FALTER_20220727_7BBF96391C,14,22.2302
brnada,FALTER_20211215_2A088C305E,FALTER_20220112_8EAECAFBBC,15,-0.625,brnada,FALTER_20211215_2A088C305E,FALTER_20220706_8CD3003E2A,15,22.002899
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220323_B272A60E63,1,1.0,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220622_0B5FC98B29,1,24.0499
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220511_4CA6D4AD5B,2,0.625,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220119_C283C25931,2,23.3862
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220202_CC707934FF,3,0.5,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220216_154FB2A50F,3,20.530001
brnada,FALTER_20211222_9E057FCFEF,FALTER_20211222_B0A321871F,4,0.5,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220302_6D4E5FFAA4,4,19.6731
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220119_C283C25931,5,0.375,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220223_D15FB0110C,5,18.902599
brnada,FALTER_20211222_9E057FCFEF,FALTER_20221012_C21916991D,6,0.25,brnada,FALTER_20211222_9E057FCFEF,FALTER_20211222_B0A321871F,6,18.709801
brnada,FALTER_20211222_9E057FCFEF,FALTER_20220309_ADE3AE6224,7,0.0,brnada,FALTER_20211222_9E057FCFEF,FALTER_20220309_ADE3AE6224,7,17.5602
